Trial Key,Name
DFB,Cadaver Counter
DFB,The Cleanser
DFB,Hydra Stomper
CoT,Transcendent
DiB,Sibling Rivalry
DiB,Sidereal Researcher
DiB,Brotherly Love
TV1,Received the Stalwart Medallion
TV2,Earned the Statesman Star
TV3,Awarded the Freedom Cross
Sewers,Charmer
Sewers,Head of the Hydra
Eden,Liberator
CoP,Pain Killer
ToT1,Thorn Robber
ToT2,Thorn Thief
ToT3,Thorn Usurper
,
BAF,Behavior Adjuster
BAF,Not On My Watch
BAF,Alarm Raiser
BAF,Gotta Keep 'Em Separated
BAF,Strong & Pretty
BAF,Master of the B.A.F.
Lambda,Lambda Leader
Lambda,Synchronized
Lambda,Lambda Looter
Lambda,Antacid
Lambda,Well-Stocked
Lambda,Master of Lambda Sector
Keyes,Keyes Technician
Keyes,Anti-Anti-Matter
Keyes,Bunker Buster
Keyes,Loves A Challenge
Keyes,Avoids the Green Stuff
Keyes,Master of Keyes Island Reactor
Underground,Underground Seeker
Underground,Regenerate This
Underground,Tour Guide
Underground,Preservation Specialist
Underground,Avatar Assassin
Underground,Master of the Underground
TPN,Spin Doctor
TPN,News Flash
TPN,Fair and Balanced
TPN,Television Addict
TPN,Tonight's Top Story
TPN,Master of TPN Campus
MoM,Mental Voyager
MoM,Dreamwalker/Dreamkiller
MoM,A Perfect Storm
MoM,Daylight Saver
MoM,Lost Connection to Server
MoM,Master of Minds of Mayhem
DD,Death Denied
DD,Spinebreaker
DD,Sentinel Smasher
DD,Sacrificial Lamb
DD,Life and Death
DD,Master of Dilemma Diabolique
Mag,Enemy of the State
Mag,Triple Threat
Mag,Ready to Rumble
Mag,Shadow Master
Mag,The Hard Way
Mag,Master of Magisterium
Mag,The Really Hard Way
