Trial,Trial Key,Max Players,Min Level,Merits,Contact,Zone,Type,Abbreviation
Death From Below,DFB,8,1,?,LFG,,LFG,DFB
Cavern of Transcendence,CoT,8,12,7,Karsis,Hollows,Standard,CoT
Drowning in Blood,DiB,8,15,?,LFG,,LFG,DiB
Terra Volta 1,TV1,8,24,27,Jane Hallaway,Independence Port,Respec,TV1
Terra Volta 2,TV2,8,34,20,Captain James Harlan,Founders' Falls,Respec,TV2
Abandoned Sewers,Sewers,8,38,28,Mairenn MacGregor,Atlas Park,Standard,
Eden,Eden,8,39,6,Woodsman,Eden,Standard,
Terra Volta 3,TV3,8,44,20,Major Richard Flagg,Peregrine Island,Respec,TV3
Cathedral of Pain,CoP,8,10,?,LFG,,LFG,CoP
Tree of Thorns,ToT1,8,24,15,Sparcetiel,Nerva,ToT1,ToT1
Tree of Thorns,ToT2,8,24,14,trepsarciel,Nerva,ToT1,ToT2
Tree of Thorns,ToT3,8,44,15,Ractespriel,,ToT1,ToT3
Behavioral Adjustment Facility,BAF,24,50,,LFG,,Incarnate,BAF
Lambda Sector,Lambda,16,50,,LFG,,Incarnate,LAM
Keyes Island Reactor,Keyes,24,50,,LFG,,Incarnate,Keyes
The Underground,Underground,24,50,,LFG,,Incarnate,
TPN Campus,TPN,24,50,,LFG,,Incarnate,TPN
Minds of Mayhem,MoM,16,50,,LFG,,Incarnate,MoM
Dilemma Diabolique,DD,16,50,,LFG,,Incarnate,"Diabolique, DD"
Magisterium,Mag,24,50,,LFG,,Incarnate,Mag
